Grain_type,Area,Max_intensity,Major_axis_length,Average_intensity
1,467,0.838374509804,33.83940550616371,0.683414760045
1,475,0.91597254902,32.479310682076566,0.729079247059
1,458,0.882620784314,31.87976534906859,0.734230063362
1,475,0.935007843137,34.37555799757495,0.720269252425
1,443,0.915385098039,30.74915354374457,0.73091520648
1,485,0.901663137255,33.42569737076324,0.736766806549
1,487,0.875596078431,32.7189131639578,0.743889451222
1,488,0.899988627451,33.08826370229596,0.740353670845
1,454,0.914811764706,32.25755343039129,0.757533703896
1,481,0.913993333333,33.12247012069133,0.761869031837
1,439,0.808110980392,31.364997117913834,0.623511245701
1,468,0.893537254902,32.07739009882655,0.683086488185
1,404,0.939725098039,32.027314931527144,0.781970290235
1,469,0.893812156863,33.362674250339225,0.755519250805
1,430,0.880157647059,31.802129987792696,0.750499774738
1,420,0.909238431373,30.213679121760205,0.742898791783
1,431,0.864865098039,31.180847011247725,0.734156654383
1,469,0.941697254902,32.484132628927064,0.760582284376
1,378,0.842787058824,31.31380864105484,0.687536430128
1,458,0.861308627451,33.482059619813,0.687767736108
1,457,0.913993333333,32.735494137232976,0.742038647617
1,498,0.836878431373,33.3496012920735,0.639618940074
1,472,0.89266627451,32.691933280719596,0.768397222499
1,471,0.953209019608,33.08526194559199,0.768520310562
1,492,0.837779215686,33.44769666569432,0.688761983899
1,426,0.888521568627,30.983764085960946,0.746331810734
1,466,0.886214117647,33.923417745178945,0.748848226037
1,473,0.90836745098,33.181580883761065,0.744655924222
1,442,0.910890196078,31.584655133345933,0.740058171413
1,474,0.880901568627,31.816218315779828,0.744901139241
1,473,0.962443921569,33.051275417252945,0.758079071426
1,461,0.897108627451,33.013872052889994,0.770478286759
1,416,0.826885490196,31.91488603896546,0.616040628771
1,477,0.917081568627,33.40603050483098,0.743753533933
1,480,0.91758745098,33.81440197036452,0.727653986928
1,489,0.942850980392,34.03556306354189,0.78166474598
1,429,0.924909803922,31.824510556141295,0.736238417661
1,479,0.843360392157,31.795339220815737,0.672292105285
1,438,0.905279215686,31.78912958480272,0.760915350524
1,489,0.825136470588,32.68252505572318,0.689877823489
1,433,0.947612941176,31.23838620593706,0.702475660916
1,479,0.846455686275,32.75373543864732,0.683049401122
1,481,0.866621960784,33.70838752716199,0.742175116383
1,493,0.842571764706,33.58012282616987,0.665143002824
1,430,0.862960392157,31.035978350398384,0.672942677611
1,463,0.79802,32.59052676925183,0.665505586753
1,473,0.759868627451,32.078469047429614,0.627132487667
1,422,0.783427843137,30.115918235128845,0.619770044606
1,497,0.828016470588,33.10309920068089,0.647305450744
1,489,0.813714117647,34.48864882970116,0.587284434821
1,458,0.748721960784,32.83573082097676,0.61400646802
1,436,0.865825490196,32.03797839399382,0.641622686634
1,364,0.818974117647,28.11542861461719,0.682127347554
1,477,0.870811372549,32.64443676201577,0.661199013442
1,449,0.890716862745,32.23998555601252,0.681835298485
1,476,0.90835254902,33.79685399170125,0.703059532872
1,449,0.909223529412,32.13986381090395,0.728887781126
1,488,0.867752941176,32.94323289339628,0.69140604468
1,493,0.826885490196,33.304037592107825,0.680652420157
1,509,0.826870588235,34.214396211313606,0.624105833044
1,502,0.877850980392,34.3006673709217,0.670473721584
1,475,0.834996470588,33.92266992843875,0.684942937461
1,469,0.875030588235,32.912800352434864,0.705146022827
1,490,0.805015686275,34.04804919376659,0.650349238095
1,459,0.899698823529,32.13244504643814,0.712966909308
1,428,0.824050196078,32.00391870650229,0.608690984973
1,459,0.905882352941,32.6826258877263,0.710863496091
1,456,0.791270980392,32.31831778803266,0.625286946164
1,437,0.837243529412,31.99699786066736,0.637869081527
1,466,0.760724705882,33.076300274044435,0.616530713625
1,420,0.911410980392,32.39889362776536,0.680272789916
1,503,0.753982745098,33.24536445772304,0.642286694734
1,507,0.804710196078,34.34916489399101,0.641274668368
1,489,0.814249803922,33.73649999492085,0.622950498416
1,480,0.906968627451,32.86724740314332,0.679713730392
1,427,0.796599215686,30.755756802500027,0.615790478946
1,453,0.873073333333,32.98619240795027,0.632283563174
1,477,0.850109411765,33.938777759787406,0.614265398939
1,447,0.762391372549,32.47822370068712,0.630228857306
1,426,0.76100745098,30.842002271739855,0.614546616957
1,406,0.890984705882,32.381026373096155,0.675370528349
1,461,0.851248235294,33.3606507012717,0.652905421292
1,459,0.786798823529,31.831718898224462,0.629368444615
1,381,0.808937254902,28.66498453699434,0.653927249241
